정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
설악5일시장,44314,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,청소년,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,4,0,2,0,5,0,2,0,12,0,6,0,2,7,17,0,6,0,1,0,1,0,0,0,0,
설악5일시장,44314,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,경로,0,0,0,0,0,0,0,2,0,1,0,0,0,6,2,3,0,7,2,6,0,2,0,8,1,2,1,8,0,1,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,장애인,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
설악5일시장,44314,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,7002,유명산종점 - 유명산종점,2024-09,일반인,0,0,0,0,0,0,0,0,5,53,0,0,0,0,0,28,0,7,0,4,6,65,0,0,0,19,0,10,0,44,0,0,0,17,0,63,0,0,0,0,0,23,0,0,0,0,0,0,
설악5일시장,44314,7002,유명산종점 - 유명산종점,2024-09,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,7002,유명산종점 - 유명산종점,2024-09,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,7002,유명산종점 - 유명산종점,2024-09,장애인,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,일반인,0,0,0,0,0,0,0,0,1,24,0,6,0,0,0,0,0,38,0,0,0,19,0,0,0,54,0,1,0,0,0,8,1,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,청소년,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,경로,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
설악5일시장,44314,8005,유명산종점 - 유명산종점,2024-09,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
